,gaussian_0.5,gaussian_1,gaussian_2,polynomial_3,polynomial_1,polynomial_2
model_performance_random,0.8570477538875536,0.8570477538875536,0.8570477538875536,0.8570477538875536,0.8570477538875536,0.8570477538875536
model_performance_compressed,0.8501094368818417,0.8566767016370096,0.8531600111332779,0.8590259133597878,0.8577213923650777,0.8593393972167838
wd_random,0.45553034317775937,0.45553034317775937,0.45553034317775937,0.45553034317775937,0.45553034317775937,0.45553034317775937
wd_compressed,0.2682647587974422,0.5431701449284616,0.722506559825481,1.1043838975490694,0.32483881760225636,0.4190078791480189
wd_diff,0.18726558438031715,-0.08763980175070234,-0.2669762166477217,-0.64885355437131,0.1306915255755029,0.03652246402974033
svi_random,0.03805344654674805,0.03805344654674805,0.03805344654674805,0.03805344654674805,0.03805344654674805,0.03805344654674805
svi_compressed,0.028383643411551373,0.02640089149436179,0.0356545105731434,0.07856833079682722,0.03633638387853832,0.049281930213498484
svi_diff,0.009669803135196671,0.011652555052386245,0.002398935973604634,-0.0405148842500792,0.0017170626682097203,-0.011228483666750437
sv_wd_random,0.0572652635012243,0.0572652635012243,0.0572652635012243,0.0572652635012243,0.0572652635012243,0.0572652635012243
sv_wd_compressed,0.048778356805763104,0.04605876766860434,0.05277177956318358,0.1000358439041392,0.05621555751816851,0.07049049623226887
sv_wd_diff,0.008486906695461191,0.01120649583261995,0.004493483938040722,-0.04277058040291491,0.001049705983055777,-0.01322523273104459
pvi_random,0.28379050961367724,0.28379050961367724,0.28379050961367724,0.28379050961367724,0.28379050961367724,0.28379050961367724
pvi_compressed,0.28155675957379545,0.31006760194399985,0.35368197596809353,0.48271195518635,0.34815549116189376,0.4084952551432128
pvi_diff,0.0022337500398818522,-0.0262770923303226,-0.06989146635441627,-0.19892144557267272,-0.06436498154821646,-0.12470474552953557
pdp_random,0.42557841539382935,0.42557841539382935,0.42557841539382935,0.42557841539382935,0.42557841539382935,0.42557841539382935
pdp_compressed,0.3716791570186615,0.3161734640598297,0.4751690924167633,1.85957932472229,0.6965408325195312,1.0180995464324951
pdp_diff,0.05389922484755516,0.10940494388341904,-0.049590740352869034,-1.4340009689331055,-0.27096253633499146,-0.592521071434021
ale_random,0.45576554259716995,0.45576554259716995,0.45576554259716995,0.45576554259716995,0.45576554259716995,0.45576554259716995
ale_compressed,0.39383279189582204,0.3168908372864065,0.49182071375043057,1.8281914387559286,0.7401184121364149,1.0340545112633455
ale_diff,0.06193275070134803,0.13887470531076354,-0.03605517115326053,-1.3724258961587588,-0.284352869539245,-0.5782889686661759
time_kt,5.467604122161865,6.3900306606292725,7.464482908248901,9.284748592376708,4.4976027297973635,4.966675205230713
time_sv_diff,301.9585933685303,301.2308126068115,299.91784044265745,297.08773406028746,302.2992563056946,302.754940032959
time_pvi_diff,22.63949634552002,22.68848608970642,22.867256059646607,22.37445306777954,22.84061960220337,22.56822642326355
time_pdp_diff,3.2351303195953367,3.220754404067993,3.230313959121704,3.2106667232513426,3.2364477634429933,3.2032319259643556
time_ale_diff,5.599495210647583,5.552834005355835,5.541363277435303,5.497756986618042,5.610386390686035,5.525276889801026
