,gaussian_0.005,gaussian_0.01,gaussian_0.05,gaussian_0.1,gaussian_0.2,gaussian_0.5,gaussian_0.75,gaussian_1
model_performance_random,0.8677796888591475,0.8677796888591475,0.8677796888591475,0.8677796888591475,0.8677796888591475,0.8677796888591475,0.8677796888591475,0.8677796888591475
model_performance_compressed,0.8700741525579692,0.8704453071433508,0.8714965143456754,0.8643170694085593,0.8723122340594798,0.8725307548048837,0.8630944692455381,0.8554884799337098
wd_random,0.43025347243420325,0.43025347243420325,0.43025347243420325,0.43025347243420325,0.43025347243420325,0.43025347243420325,0.43025347243420325,0.43025347243420325
wd_compressed,0.27809595623695743,0.26608741894686877,0.2518533836052121,0.22737704963170102,0.20871763699081164,0.21614911690310523,0.24169815443257872,0.2686987534969264
wd_diff,0.15215751619724577,0.16416605348733462,0.1784000888289912,0.2028764228025023,0.2215358354433916,0.21410435553109797,0.18855531800162456,0.16155471893727683
mmd_linear_random,0.017456358958590715,0.017456358958590715,0.017456358958590715,0.017456358958590715,0.017456358958590715,0.017456358958590715,0.017456358958590715,0.017456358958590715
mmd_linear_compressed,0.0004515077324462143,0.0006472419434705122,0.0016644599458134287,0.0014854246006170155,0.001699990148601179,0.0025931925228528164,0.004492624969159948,0.006687577369973057
mmd_linear_diff,0.017004851226144493,0.0168091170151202,0.01579189901277729,0.015970934357973695,0.015756368809989534,0.0148631664357379,0.012963733989430766,0.010768781588617654
mmd_gaussian_random,0.0001578608532803738,0.000290258039628446,0.0009301750363267836,0.001315240629129888,0.0016339944157462772,0.001848269529501348,0.0018902254355329473,0.0019102388247644766
mmd_gaussian_compressed,6.94418427279242e-06,1.4371456976514096e-05,7.914829786746402e-05,0.0001373178059740865,0.00022784600858827275,0.0004095235025905708,0.0005092008589028793,0.0005887041604729279
mmd_gaussian_diff,0.0001509166690075814,0.0002758865826519319,0.0008510267384593196,0.0011779228231558014,0.0014061484071580044,0.001438746026910777,0.001381024576630068,0.0013215346642915487
svi_random,0.19876789840782963,0.19876789840782963,0.19876789840782963,0.19876789840782963,0.19876789840782963,0.19876789840782963,0.19876789840782963,0.19876789840782963
svi_compressed,0.17640011331809277,0.18041498824935862,0.17089962527278504,0.19182482913061968,0.17609357355056268,0.17681529662416984,0.19460066516556956,0.18742948464117373
svi_diff,0.022367785089736865,0.01835291015847099,0.02786827313504455,0.006943069277209941,0.022674324857266948,0.021952601783659764,0.004167233242260128,0.011338413766655923
sv_wd_random,0.052475623676973365,0.052475623676973365,0.052475623676973365,0.052475623676973365,0.052475623676973365,0.052475623676973365,0.052475623676973365,0.052475623676973365
sv_wd_compressed,0.05437429964590366,0.055868588728158225,0.05058779839436542,0.05369545486162288,0.04825894718499358,0.04844559387732431,0.049094984525274395,0.04908831547239641
sv_wd_diff,-0.0018986759689302885,-0.003392965051184881,0.0018878252826079519,-0.0012198311846495318,0.004216676491979784,0.004030029799649023,0.0033806391516989693,0.003387308204576938
pvi_random,0.35089023002817904,0.35089023002817904,0.35089023002817904,0.35089023002817904,0.35089023002817904,0.35089023002817904,0.35089023002817904,0.35089023002817904
pvi_compressed,0.32581318092488926,0.3437232440498436,0.4015524352249503,0.34193357067537133,0.313687968746521,0.33438397002216336,0.3340606026441372,0.31230076177354776
pvi_diff,0.025077049103289718,0.007166985978335272,-0.05066220519677138,0.008956659352807584,0.03720226128165795,0.016506260006015627,0.016829627384041767,0.038589468254631124
pdp_random,0.44195470213890076,0.44195470213890076,0.44195470213890076,0.44195470213890076,0.44195470213890076,0.44195470213890076,0.44195470213890076,0.44195470213890076
pdp_compressed,0.6212450861930847,0.5667224526405334,0.506880521774292,0.5968834161758423,0.47553566098213196,0.43250709772109985,0.4259854555130005,0.4670983552932739
pdp_diff,-0.1792905032634735,-0.12476785480976105,-0.06492586433887482,-0.15492872893810272,-0.033580929040908813,0.009447549469769001,0.015969209372997284,-0.025143727660179138
ale_random,0.4500651274807619,0.4500651274807619,0.4500651274807619,0.4500651274807619,0.4500651274807619,0.4500651274807619,0.4500651274807619,0.4500651274807619
ale_compressed,0.6114784871274123,0.5583935020226101,0.512457729851931,0.5906372649013691,0.45842575573392247,0.41844964510853794,0.43093537841881435,0.4573249285342331
ale_diff,-0.1614133596466507,-0.10832837454184824,-0.06239260237116929,-0.14057213742060737,-0.008360628253160664,0.03161548237222402,0.01912974906194744,-0.007259801053471413
time_kt,7.137673254013062,4.928191065788269,3.753174691200256,3.7404041576385496,3.7539784288406373,3.7232730388641357,3.7654412269592283,3.8055351400375366
time_sv_diff,282.86663911342623,285.18833718776705,286.44202424526213,286.4433729410172,286.48367496967313,286.50281919956205,286.5401661872864,286.5140332174301
time_pvi_diff,15.387022585868836,14.54498083114624,15.432230458259582,15.429135041236878,15.429832425117493,15.427359371185302,15.38958656311035,15.382492232322694
time_pdp_diff,2.9139824151992797,2.9072615242004396,2.924633684158325,2.9243119382858276,2.9245473670959474,2.924570698738098,2.9241842794418336,2.925310883522034
time_ale_diff,6.8210572290420535,6.835404419898987,6.85531065940857,6.857033538818359,6.858727674484253,6.858118109703064,6.856833391189575,6.857501521110534
